Question,modified_Question,Query,is_Question_added_to_cluster,is_Query_added_to_cluster,Query_clusters,Question_clusters,user_added_query
WHICH PARTICIPANT HAS THE LEAST TOTAL PROCESSING TIME?,WHICH NOUN# HAS THE LEAST TOTAL NOUN# TIME ? ,"SELECT PARTICIPANT_NAME, SUM(PROCESSING_TIME) AS TOTAL_PROCESSING_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY TOTAL_PROCESSING_TIME ASC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE HIGHEST TOTAL PROCESSING TIME?,WHICH NOUN# HAS THE NOUN# TIME ? ,"SELECT PARTICIPANT_NAME, SUM(PROCESSING_TIME) AS TOTAL_PROCESSING_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY TOTAL_PROCESSING_TIME DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE HIGHEST AVERAGE PROCESSING TIME PER CASE?,WHICH NOUN# HAS THE NOUN# AVERAGE NOUN# PER NOUN# ? ,"SELECT PARTICIPANT_NAME AS PARTICIPANT, SUM(PROCESSING_TIME)/COUNT(DISTINCT CASE_ID_VALUE) AS AVG_PROCESSING_PER_CASE FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT ORDER BY AVG_PROCESSING_PER_CASE DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE LEAST AVERAGE PROCESSING TIME PER CASE?,WHICH NOUN# HAS THE LEAST AVERAGE NOUN# PER NOUN# ? ,"SELECT PARTICIPANT_NAME AS PARTICIPANT,SUM(PROCESSING_TIME)/COUNT(DISTINCT CASE_ID_VALUE)  AS AVG_PROCESSING_PER_CASE FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT ORDER BY AVG_PROCESSING_PER_CASE LIMIT ASC 1",no,no,,,no
WHICH PERSONA HAS THE LEAST TOTAL PROCESSING TIME?,WHICH NOUN# HAS THE LEAST TOTAL NOUN# TIME ? ,"SELECT PERSONA_NAME, SUM(PROCESSING_TIME) AS TOTAL_PROCESSING_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY TOTAL_PROCESSING_TIME ASC LIMIT 1",no,no,,,no
WHICH PERSONA HAS THE HIGHEST TOTAL PROCESSING TIME?,WHICH NOUN# HAS THE NOUN# TIME ? ,"SELECT PERSONA_NAME, SUM(PROCESSING_TIME) AS TOTAL_PROCESSING_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY TOTAL_PROCESSING_TIME DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE HIGHEST TOTAL CASE TOUCHES,WHICH NOUN# HAS THE NOUN# TOUCHES ,"SELECT PARTICIPANT_NAME, COUNT(DISTINCT CASE_ID_VALUE) AS CASE_TOUCH FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01'             AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY CASE_TOUCH DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE LEAST TOTAL CASE TOUCHES,WHICH NOUN# HAS THE LEAST NOUN# TOUCHES ,"SELECT PARTICIPANT_NAME, COUNT(DISTINCT CASE_ID_VALUE) AS CASE_TOUCHES FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY CASE_TOUCHES ASC LIMIT 1",no,no,,,no
WHICH IS THE MOST COMMON ACTIVITY?,WHICH IS THE MOST COMMON NOUN# ? ,"SELECT ACTIVITY_ID, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ID ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH IS THE LEAST COMMON ACTIVITY?,WHICH IS THE LEAST COMMON NOUN# ? ,"SELECT ACTIVITY_ID, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ID ORDER BY COUNT ASC LIMIT 1",no,no,,,no
IS MOUSE SCROLL IS USED COMMONLY,IS MOUSE SCROLL IS USED NOUN# ,SELECT SUM(MOUSE_WHEEL) AS TOTAL_SCROLL FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHICH IS THE MOST COMMON SEQUENCE OF 4 ACTIVITIES?,WHICH IS THE MOST COMMON NOUN# OF 4 NOUN# ?,NOT_EVALUATED,no,no,,,no
WHAT IS THE AVERAGE CASES PER DAY WORKED ON?,WHAT IS THE AVERAGE NOUN# PER DAY NOUN# ON ? ,SELECT COUNT(DISTINCT CASE_ID_VALUE)/COUNT(DISTINCT EVENT_DATE) AS AVG_CASES_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHICH PARTICIPANT HAS THE HIGHEST TOTAL IDLE TIME?,WHICH NOUN# HAS THE HIGHEST NOUN# IDLE TIME ? ,"SELECT PARTICIPANT_NAME, SUM(IDLE_TIME) AS TOTAL_IDLE_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY TOTAL_IDLE_TIME DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE LEAST TOTAL IDLE TIME ?,WHICH NOUN# HAS THE LEAST TOTAL IDLE TIME ? ,"SELECT PARTICIPANT_NAME, SUM(IDLE_TIME) AS TOTAL_IDLE_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY TOTAL_IDLE_TIME ASC LIMIT 1",no,no,,,no
WHICH PERSONA HAS THE HIGHEST TOTAL IDLE TIME?,WHICH NOUN# HAS THE HIGHEST NOUN# IDLE TIME ? ,"SELECT PERSONA_NAME, SUM(IDLE_TIME) AS TOTAL_IDLE_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY TOTAL_IDLE_TIME DESC LIMIT 1",no,no,,,no
WHICH PERSONA HAS THE LEAST TOTAL IDLE TIME ?,WHICH NOUN# HAS THE LEAST TOTAL IDLE TIME ? ,"SELECT PERSONA_NAME, SUM(IDLE_TIME) AS TOTAL_IDLE_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY TOTAL_IDLE_TIME ASC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE LEAST TOTAL WAIT TIME ?,WHICH NOUN# HAS THE LEAST NOUN# WAIT TIME ? ,"SELECT PARTICIPANT_NAME, SUM(WAIT_TIME) AS TOTAL_WAIT_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY TOTAL_WAIT_TIME ASC LIMIT 1",no,no,,,no
WHICH PERSONA HAS THE HIGHEST TOTAL WAIT TIME?,WHICH NOUN# HAS THE HIGHEST NOUN# WAIT TIME ? ,"SELECT PERSONA_NAME, SUM(WAIT_TIME) AS TOTAL_WAIT_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY TOTAL_WAIT_TIME DESC LIMIT 1",no,no,,,no
WHICH IS THE LEAST COMMON ACTIVITY ABSTRACTION?,WHICH IS THE LEAST COMMON NOUN# ? ,"SELECT ACTIVITY_ABSTRACTION_LEVEL_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ABSTRACTION_LEVEL_NAME ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH IS THE ACTIVITY ABSTRACTION WITH MOST EVENTS ?,WHICH IS THE ACTIVITY NOUN# WITH MOST NOUN# ? ,"SELECT ACTIVITY_ABSTRACTION_LEVEL_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ABSTRACTION_LEVEL_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH IS THE ACTIVITY ABSTRACTION WITH LEAST EVENTS ?,WHICH IS THE ACTIVITY NOUN# WITH LEAST NOUN# ? ,"SELECT ACTIVITY_ABSTRACTION_LEVEL_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ABSTRACTION_LEVEL_NAME ORDER BY COUNT LIMIT 1",no,no,,,no
WHICH PERSONA HAS THE HIGHEST COUNT OF CASE SWITCH ?,WHICH NOUN# HAS THE NOUN# OF CASE SWITCH ? ,"SELECT PERSONA_NAME, SUM(CAST(CASE_SWITCH AS INT)) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PERSONA_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH APPLICATION HAS THE HIGHEST COUNT OF UNIQUE TITLES ?,WHICH NOUN# HAS THE NOUN# OF UNIQUE TITLES ? ,"SELECT APP_NAME, COUNT(DISTINCT TITLE) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE APP_NAME IS NOT NULL AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH APPLICATION HAS THE MOST KEY PRESS ?,WHICH NOUN# HAS THE MOST NOUN# ? ,"SELECT APP_NAME, SUM(NUMBER_KEY_COUNT + NAVIGATION_KEY_COUNT + ALPHA_KEY_COUNT) AS KEY_PRESS_COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY KEY_PRESS_COUNT DESC LIMIT 1",no,no,,,no
WHICH APPLICATION HAS THE MOST MOUSE CLICKS ?,WHICH NOUN# HAS THE MOST MOUSE CLICKS ? ,"SELECT APP_NAME, SUM(MOUSE_COUNT) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE HIGHEST TOTAL AVERAGE DAILY UTILIZATION?,WHICH NOUN# HAS THE HIGHEST TOTAL AVERAGE DAILY UTILIZATION ? ,"SELECT PARTICIPANT_NAME, SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_DAILY_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY AVG_DAILY_UTILIZATION DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE LOWSET TOTAL AVERAGE DAILY UTILIZATION?,WHICH NOUN# HAS THE LOWSET TOTAL AVERAGE DAILY UTILIZATION ? ,"SELECT PARTICIPANT_NAME, SUM(ACTIVE_TIME)/(COUNT(DISTINCT EVENT_DATE)) AS AVG_DAILY_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY AVG_DAILY_UTILIZATION ASC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE HIGHEST AVERAGE DAILY UTILIZATION IN PROCESS APPLICATIONS?,WHICH NOUN# HAS THE HIGHEST AVERAGE DAILY NOUN# IN PROCESS NOUN# ? ,"SELECT PARTICIPANT_NAME, SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_DAILY_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY AVG_DAILY_UTILIZATION DESC LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE HIGHEST AVERAGE DAILY UTILIZATION IN NON PROCESS APPLICATIONS?,WHICH NOUN# HAS THE HIGHEST AVERAGE DAILY NOUN# IN NON PROCESS NOUN# ? ,"SELECT PARTICIPANT_NAME, SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_DAILY_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE=0 AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY AVG_DAILY_UTILIZATION DESC LIMIT 1",no,no,,,no
"WHAT IS THE AVERAGE DAILY UTILIZATION IN PROCESS APPLICATIONS, ACROSS ALL PARTICIPANTS?","WHAT IS THE AVERAGE DAILY NOUN# IN PROCESS NOUN# , ACROSS ALL NOUN# ? ",SELECT SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_DAILY_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
"WHAT IS THE AVERAGE DAILY UTILIZATION IN NONPROCESS APPLICATIONS, ACROSS ALL PARTICIPANTS?","WHAT IS THE AVERAGE DAILY NOUN# IN NONPROCESS NOUN# , ACROSS ALL NOUN# ? ",SELECT SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE = 0 AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHICH PARTICIPANT HAS THE LEAST AVERAGE DAILY UTILIZATION IN PROCESS APPLICATIONS?,WHICH NOUN# HAS THE LEAST AVERAGE DAILY NOUN# IN PROCESS NOUN# ? ,"SELECT PARTICIPANT_NAME, SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE)AS AVG_DAILY_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY AVG_DAILY_UTILIZATION LIMIT 1",no,no,,,no
WHICH PARTICIPANT HAS THE LEAST AVERAGE DAILY UTILIZATION IN NON PROCESS APPLICATIONS?,WHICH NOUN# HAS THE LEAST AVERAGE DAILY NOUN# IN NON PROCESS NOUN# ? ,"SELECT PARTICIPANT_NAME, SUM(ACTIVE_TIME)/(COUNT(DISTINCT EVENT_DATE)) AS AVG_DAILY_UTILIZATION FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE=0 AND EVENT_DATE>='2023-04-01' AND EVENT_DATE<='2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY AVG_DAILY_UTILIZATION ASC LIMIT 1",no,no,,,no
WHICH ARE THE MOST USED TOP 3 APPLICATIONS ?,WHICH ARE THE MOST USED TOP 3 NOUN# ?,"SELECT APP_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' AND APP_NAME IS NOT NULL GROUP BY APP_NAME ORDER BY COUNT DESC LIMIT 3",no,no,,,no
WHICH ARE THE APPLICATIONS COMMON ACROSS PERSONAS ?,WHICH ARE THE NOUN# COMMON ACROSS PERSONAS ? ,"SELECT APP_NAME ,COUNT(DISTINCT PERSONA_NAME)FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE APP_NAME IS NOT NULL AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY COUNT(DISTINCT PERSONA_NAME) DESC LIMIT 10",no,no,,,no
WHICH ARE MOST SEQUENCE OF APPLICATIONS USED ?,WHICH ARE MOST NOUN# OF NOUN# USED ? ,NOT_EVALUATED,no,no,,,no
WHICH IS MOST COMMON BROWSER USED ?,WHICH IS MOST COMMON NOUN# USED ? ,NOT_EVALUATED,no,no,,,no
WHICH IS MOST USED DESKTOP APPLICATION  ?,WHICH IS MOST USED NOUN# ? ,"SELECT APP_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE = 2 AND APP_NAME IS NOT NULL AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY APP_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH PARITICPANT HAS WORKED MOST DAYS IN THIS MONTH ?,WHICH NOUN# HAS WORKED MOST NOUN# IN THIS NOUN# ? ,"SELECT PARTICIPANT_NAME, COUNT(DISTINCT EVENT_DATE) AS WORK_DAYS FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY WORK_DAYS DESC LIMIT 1",no,no,,,no
WHICH PARITICPANT WAS ON LEAVE MOST DAYS IN THIS MONTH ?,WHICH NOUN# WAS ON LEAVE MOST NOUN# IN THIS NOUN# ? ,"SELECT PARTICIPANT_NAME, COUNT(DISTINCT EVENT_DATE) AS LEAVE_DAYS FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01'             AND EVENT_DATE <= '2023-04-30' GROUP BY PARTICIPANT_NAME ORDER BY LEAVE_DAYS ASC LIMIT 1",no,no,,,no
WHICH WILL BE THE MOST USED APPLICATION NEXT MONTH ?,WHICH WILL BE THE MOST USED NOUN# NEXT NOUN# ? ,NOT_EVALUATED,no,no,,,no
WHICH ARE THE PARTICIPANTS WHO WORK ON MULTIPLE PERSONA?,WHICH ARE THE NOUN# WHO WORK ON NOUN# ? ,SELECT PARTICIPANT_NAME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30'             GROUP BY PARTICIPANT_NAME HAVING COUNT(DISTINCT PERSONA_NAME) > 1 LIMIT 10,no,no,,,no
