#,Question,correct_query,generated_query,temp_0.2,temp_0.4,temp_0.6
11,which participant has the highest events,"SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND             event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1 ""","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1 ""","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1 ""","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1 """
12,which participant has the least events,"SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count ASC LIMIT 1","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count ASC LIMIT 1 ""","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count ASC LIMIT 1 ""","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count ASC LIMIT 1 ""","SELECT participant_name, COUNT(*) AS event_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY event_count ASC LIMIT 1 """
13,which persona has the highest events,"SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS event_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY event_count DESC LIMIT 1 """
14,which persona has the least events,"SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1 """
15,which hour of the day has the highest events,"SELECT SUBSTRING(event_time,12,2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count DESC LIMIT 1","SELECT HOUR(event_time) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY HOUR(event_time) ORDER BY count DESC LIMIT 10 ""","SELECT HOUR(event_time) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY HOUR(event_time) ORDER BY count DESC LIMIT 10 ""","SELECT HOUR(event_time) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY HOUR(event_time) ORDER BY count DESC LIMIT 10 ""","SELECT HOUR(event_time) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY HOUR(event_time) ORDER BY count DESC LIMIT 10 """
16,which hour of the day has the highest events for a <specific persona>,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
17,which hour of the day has the least events,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count ASC LIMIT 1","SELECT HOUR(event_time) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count ASC LIMIT 1 ""","SELECT HOUR(event_time) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY HOUR(event_time) ORDER BY count ASC LIMIT 1 ""","SELECT HOUR(event_time) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY HOUR(event_time) ORDER BY count ASC LIMIT 1 ""","SELECT HOUR(event_time) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count ASC LIMIT 1 """
18,which hour of the day has the least events for a <specific persona>,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
19,which day of the week has the highest events,"SELECT DATE_FORMAT(event_date, '%W') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1","SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1 ""","SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1 ""","SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1 ""","SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1 """
20,which day of the week has the least events,"SELECT DATE_FORMAT(event_date, '%W') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1","SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1 ""","SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1 ""","SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1 ""","SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count LIMIT 1 """
21,which day of the week has the highest events  for a <specific persona>,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
22,which day of the week has the least events  for a <specific persona>,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
23,what is the average numbers of events in a day,SELECT COUNT(event_id)/COUNT(DISTINCT event_date) as average_events AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01'             AND event_date <= '2023-04-30' LIMIT 1,"SELECT AVG(activity_instance_event_count) FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(activity_instance_event_count) AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT COUNT(*)/(DATEDIFF('2023-04-30', '2023-04-01') + 1) AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(activity_instance_event_count) AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' """
24,what is the average numbers of events in a day for a <specific persona>,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
25,What is the total time spent on process applications ?,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"SELECT SUM(processing_time) AS total_processing_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 10 ""","SELECT SUM(tat_event) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 10 ""","SELECT SUM(processing_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 10 ""","SELECT SUM(processing_time) AS total_processing_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 10 """
26,What is the total time spent on non process applications ?,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type IN (0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 100) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND active_time IS NOT NULL ""","SELECT SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE agent_type IN (0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 100) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type IN (0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 100) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE agent_type IN (0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 100) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND active_time > 0 """
27,What is the total time spent on process applications for a <specific persona>?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
28,What is the total time spent on non process applications  for a <specific persona>?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
29,What is the average time spent in non process applications per day,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type==0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"SELECT AVG(active_time) AS avg_time FROM unum_askskan.events_delta_tb WHERE agent_type IN (0, 2, 3, 4, 5, 6, 7, 8) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_time FROM unum_askskan.events_delta_tb WHERE agent_type IN (0,2,3,4,5,6,7,8,9,10,11) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_non_process_time FROM unum_askskan.events_delta_tb WHERE agent_type IN (0, 2, 100) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS average_time_non_process FROM unum_askskan.events_delta_tb WHERE agent_type IN (0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' """
30,What is the average time spent in process applications per day,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type!=0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"SELECT AVG(active_time) AS avg_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 """
31,What is the average time spent in non process applications per day  for a <specific persona>?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
32,What is the average time spent in process applications per day  for a <specific persona>?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
33,What is the total cases in a persona?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
34,What is the average case effort per persona,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
35,What is the total cases in a persona?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
