#,Scope,Type,Question,deprecated,Python_Answer,sql answer(AskSkan model),Correctness of generated answer,Single Interpretation,note,Observations from model output,Possible fix 1,Possible fix 2
1030,application,Analytical,What is the average time spent in non process applications per day for this Do Not Use persona,no,6655.95300000008,6655.95299999999,correct,yes,,,,
1031,application,Analytical,What is the average time spent in non process applications per day for this TEST persona,no,6134.16733333332,6134.16733333333,correct,yes,,,,
1032,application,Analytical,What is the average time spent in process applications per day for this LES persona,no,614235.812666582,614208,correct,yes,,,,
1033,application,Analytical,What is the average time spent in process applications per day for this CES persona,no,689575.686333436,689630,correct,yes,,,,
1034,application,Analytical,What is the average time spent in process applications per day for this Do Not Use persona,no,12927.7453333335,35262,correct,yes,mismatch,,,
1035,application,Analytical,What is the average time spent in process applications per day for this TEST persona,no,1719.20266666667,7368,correct,yes,mismatch,,,
1036,case,Analytical,What is the total cases in LES persona,no,5905,5905,correct,yes,,,,
1037,case,Analytical,What is the total cases in CES persona,no,7207,7207,correct,yes,,,,
1038,case,Analytical,What is the total cases in Do Not Use persona,no,1,0,correct ,yes,mismatch,,,
1039,case,Analytical,What is the total cases in TEST persona,no,2,1,correct ,yes,mismatch,,,
1040,case,Analytical,What is the average case effort of this LES persona,no,4175.91135286667,4176.98656392888,correct,yes,,,,
1041,case,Analytical,What is the average case effort of CES persona,no,4254.89959073372,4255.71723602053,correct,yes,,,,
1042,case,Analytical,What is the average case effort of Do Not Use persona,no,587510.950000013,None,correct,yes,mismatch,,,
1043,case,Analytical,What is the average case effort of TEST persona,no,117800.55,235601,correct,yes,mismatch,,,
1044,activity,Analytical,Which is the most common activity in this LES persona,no,None,None,correct,yes,,,,
1045,activity,Analytical,Which is the most common activity in this CES persona,no,None,None,correct,yes,,,,
1046,activity,Analytical,Which is the most common activity in this Do Not Use persona,no,None,None,correct,yes,,,,
1047,activity,Analytical,Which is the most common activity in this TEST persona,no,None,None,correct,yes,,,,
1048,case,Analytical,What is the average cases per day worked on in LES persona,no,196.833333333333,196.83,correct,yes,,,,
1049,case,Analytical,What is the average cases per day worked on in this CES persona,no,240.233333333333,240.23,correct,yes,,,,
1050,case,Analytical,What is the average cases per day worked on in this Do not use persona,no,0.0333333333333333,0,correct,yes,mismatch,,,
1051,case,Analytical,What is the average cases per day worked on in this TEST persona,no,0.0666666666666666,0.03,correct,yes,mismatch,,,
1056,case,Analytical,What is the average case switch  in  LES persona,no,1145.93333333333,1145,correct,yes,,,,
1057,case,Analytical,What is the average case switch  in  CES persona,no,630.8,630,correct,yes,,,,
1058,case,Analytical,What is the average case switch  in  Do Not Use persona,no,2619.53333333333,None,correct,yes,mismatch,,,
1059,case,Analytical,What is the average case switch  in  TEST persona,no,0.0333333333333333,0.09,correct,yes,mismatch,,,
1060,application,Analytical,Is there any mainframe application in this LES persona,no,no,0,correct,no,,,,
1061,application,Analytical,Is there any mainframe application in this CES persona,no,no,0,correct,no,,,,
1062,application,Analytical,Is there any mainframe application in this Do Not Use persona,no,no,0,correct,no,,,,
1063,application,Analytical,Is there any mainframe application in this TEST persona,no,no,0,correct,no,,,,
1064,event,Analytical,When is first  event for the day for this LES persona,no,0:00:00,0:00:00,correct,no,,,,
1065,event,Analytical,When is first  event for the day for this CES persona,no,0:00:01,0:00:01,correct,no,,,,
1066,event,Analytical,When is first  event for the day for this Do Not Use persona,no,11:25:43,11:27:50,correct,no,multiple answer,,,
1067,event,Analytical,When is first  event for the day for this TEST persona,no,12:18:19,12:18:19,correct,no,,,,
1068,event,Analytical,When is last  event for the day for this LES persona,no,23:59:59,23:59:59,correct ,no,,,,
1069,event,Analytical,When is last  event for the day for this CES persona,no,23:59:59,23:59:59,correct ,no,,,,
1070,event,Analytical,When is last  event for the day for this Do Not Use persona,no,23:59:58,20:29:28,correct ,no,multiple answer,,,
1071,event,Analytical,When is last  event for the day for this TEST persona,no,20:45:18,20:32:06,correct ,no,multiple answer,,,
1080,user,Analytical,what is the average count of users on leave for this LES persona,no,63.1,15.7,correct,no,mismatch,,,
1081,user,Analytical,what is the average count of users on leave for this CES persona,no,41.9,21.8,correct,no,mismatch,,,
1082,user,Analytical,what is the average count of users on leave for this Do Not Use persona,no,5.46666666666666,5.466,correct,no,,,,
1083,user,Analytical,what is the average count of users on leave for this TEST persona,no,4.56666666666666,4.366,correct,no,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,"SUMMARY  for askskan model

Correct(include mismatch, multiple interpretation also)-163
Multiple Interpretation-18
Mismatch-14
Incorrect-2
Unanswerable-16",,,,,,,
,,,,,,,,,,,,
,,,,,"RESULT OF TESTING LAMINI MODEL WITH SOME QUESTIONS

Simple ones
9/10 correct 

med+Hard ones
2/8 correct
Multiple interpretation ones
They are correct one the basis of how they are interpreted ",,,,,,,
