#,Scope,Type,Question,deprecated,Single Interpretation,correct_query,lamini_answers,Comments,"final result - (correct_query,lamini_answers)","Reason - (correct_query,lamini_answers)"
11,event,Analytical,which participant has the highest events,no,yes,"SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND             event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1","""SELECT participant_name, COUNT(event_id) as event_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY participant_name   ORDER BY event_count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
12,event,Analytical,which participant has the least events,no,yes,"SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count ASC LIMIT 1","""SELECT participant_name, COUNT(event_id) as event_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY participant_name   ORDER BY event_count ASC   LIMIT 1  """,,not_evaluated,not_evaluated
13,event,Analytical,which persona has the highest events,no,yes,"SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1","""SELECT persona_name, COUNT(event_id) as event_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY persona_name   ORDER BY event_count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
14,event,Analytical,which persona has the least events,no,yes,"SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1","""SELECT persona_name, COUNT(event_id) as event_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY persona_name   ORDER BY event_count ASC   LIMIT 1  """,,not_evaluated,not_evaluated
15,event,Analytical,which hour of the day has the highest events,no,yes,"SELECT SUBSTRING(event_time,12,2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count DESC LIMIT 1","""SELECT strftime('%H', event_time) as hour, COUNT(*) as event_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY hour   ORDER BY event_count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
16,event,Analytical,which hour of the day has the highest events for a <specific persona>,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
17,event,Analytical,which hour of the day has the least events,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count ASC LIMIT 1","""SELECT strftime('%H', event_time) as hour, COUNT(event_id) as event_count  FROM events  WHERE strftime('%Y-%m', event_time) = '2023-04'  GROUP BY hour  ORDER BY event_count ASC  LIMIT 1  """,,not_evaluated,not_evaluated
18,event,Analytical,which hour of the day has the least events for a <specific persona>,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
19,event,Analytical,which day of the week has the highest events,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1","""SELECT strftime('%w', event_time) as day_of_week, COUNT(*) as event_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY day_of_week   ORDER BY event_count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
20,event,Analytical,which day of the week has the least events,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1","""SELECT strftime('%w', event_time) as day_of_week, COUNT(*) as event_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY day_of_week   ORDER BY event_count ASC   LIMIT 1  """,,not_evaluated,not_evaluated
21,event,Analytical,which day of the week has the highest events  for a <specific persona>,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
22,event,Analytical,which day of the week has the least events  for a <specific persona>,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
23,event,Analytical,what is the average numbers of events in a day,no,yes,SELECT COUNT(event_id)/COUNT(DISTINCT event_date) as average_events  FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01'             AND event_date <= '2023-04-30' LIMIT 1,"""SELECT AVG(event_count) as average_events_per_day  FROM (      SELECT COUNT(event_id) as event_count, DATE(event_time) as date      FROM events      WHERE DATE(event_time) BETWEEN '2023-04-01' AND '2023-04-30'      GROUP BY date  ) as t1  """,,not_evaluated,not_evaluated
24,event,Analytical,what is the average numbers of events in a day for a <specific persona>,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
25,application,Analytical,What is the total time spent on process applications ?,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT SUM(active_time) as total_time_spent_on_process_applications  FROM events  WHERE agent_type > 0 AND strftime('%Y-%m', event_time) = '2023-04'  """,,not_evaluated,not_evaluated
26,application,Analytical,What is the total time spent on non process applications ?,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT SUM(active_time) as total_time_spent   FROM events   WHERE agent_type = 0 AND strftime('%Y-%m', event_time) = '2023-04' LIMIT 1 """,,not_evaluated,not_evaluated
27,application,Analytical,What is the total time spent on process applications for a <specific persona>?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
28,application,Analytical,What is the total time spent on non process applications  for a <specific persona>?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
29,application,Analytical,What is the average time spent in non process applications per day,no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type==0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""select avg(active_time) as average_time_spent from (select sum(active_time) as active_time, date(event_time) as date from events where agent_type = 0 and strftime('%Y-%m', event_time) = '2023-04' group by date) as t1  """,,not_evaluated,not_evaluated
30,application,Analytical,What is the average time spent in process applications per day,no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type!=0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""select avg(active_time) as average_time_spent from (select sum(active_time) as active_time, date(event_time) as date from events where agent_type > 0 and strftime('%Y-%m', event_time) = '2023-04' group by date) as t1  """,,not_evaluated,not_evaluated
31,application,Analytical,What is the average time spent in non process applications per day  for a <specific persona>?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
32,application,Analytical,What is the average time spent in process applications per day  for a <specific persona>?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
33,case,Analytical,What is the total cases in a persona?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
34,case,Analytical,What is the average case effort per persona,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
35,case,Analytical,What is the total cases in a persona?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
36,processing time,Analytical,Which participant has the least total processing time?,no,yes,"SELECT participant_name, SUM(processing_time) AS total_processing_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_processing_time ASC LIMIT 1","""SELECT participant_name, SUM(processing_time) as total_processing_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY participant_name   ORDER BY total_processing_time ASC   LIMIT 1  """,,not_evaluated,not_evaluated
37,processing time,Analytical,Which participant has the highest total processing time?,no,yes,"SELECT participant_name, SUM(processing_time) as total_processing_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_processing_time DESC LIMIT 1","""SELECT participant_name, SUM(processing_time) as total_processing_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY participant_name   ORDER BY total_processing_time DESC   LIMIT 1  """,,not_evaluated,not_evaluated
38,processing time,Analytical,Which participant has the highest average processing time per case?,no,yes,"SELECT participant_name as participant, SUM(processing_time)/count(DISTINCT case_id_value) AS avg_processing_per_case FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant ORDER BY avg_processing_per_case DESC LIMIT 1","""SELECT participant_name, AVG(processing_time) as average_processing_time_per_case   FROM (      SELECT participant_name, case_id_value, SUM(processing_time) as processing_time       FROM events       WHERE strftime('%Y-%m', event_time) = '2023-04'       GROUP BY participant_name, case_id_value  )   GROUP BY participant_name   ORDER BY average_processing_time_per_case DESC   LIMIT 1  """,Wrong lamini query Example in participant gig19 answer should be none (as case_id_value = 0) but lamini gives 552 as answer,not_evaluated,not_evaluated
39,processing time,Analytical,Which participant has the least average processing time per case?,no,yes,"SELECT participant_name as participant,SUM(processing_time)/count(DISTINCT case_id_value)  AS avg_processing_per_case FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant ORDER BY avg_processing_per_case ASC LIMIT 1","""select participant_name, avg(processing_time) as average_processing_time_per_case from (select participant_name, case_id_value, sum(processing_time) as processing_time from events where strftime('%Y-%m', event_time) = '2023-04' group by participant_name, case_id_value) group by participant_name order by average_processing_time_per_case asc LIMIT 1  """,Wrong lamini query,not_evaluated,not_evaluated
40,processing time,Analytical,Which persona has the least total processing time?,no,yes,"SELECT persona_name, SUM(processing_time) AS total_processing_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_processing_time ASC LIMIT 1","""SELECT persona_name, SUM(processing_time) as total_processing_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY persona_name   ORDER BY total_processing_time ASC   LIMIT 1  """,,not_evaluated,not_evaluated
41,processing time,Analytical,Which persona has the highest total processing time?,no,yes,"SELECT persona_name, SUM(processing_time) AS total_processing_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_processing_time DESC LIMIT 1","""SELECT persona_name, SUM(processing_time) as total_processing_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY persona_name   ORDER BY total_processing_time DESC   LIMIT 1  """,,not_evaluated,not_evaluated
42,case,Analytical,Which participant has the highest total case touches,no,yes,"SELECT participant_name, COUNT(DISTINCT case_id_value) AS case_touch FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01'             AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY case_touch DESC LIMIT 1","""SELECT participant_name, COUNT(case_id_value) as total_case_touches   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY participant_name   ORDER BY total_case_touches DESC   LIMIT 1  """,Wrong lamini query,not_evaluated,not_evaluated
43,case,Analytical,Which participant has the least total case touches,no,yes,"SELECT participant_name, COUNT(DISTINCT case_id_value) AS case_touches FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY case_touches ASC LIMIT 1","""SELECT participant_name, COUNT(case_id_value) as total_case_touches   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY participant_name   ORDER BY total_case_touches ASC   LIMIT 1  """,Wrong lamini query,not_evaluated,not_evaluated
44,activity,Descriptive,Which is the most common activity?,no,yes,"SELECT activity_id, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_id ORDER BY count DESC LIMIT 1","""SELECT activity_id, COUNT(activity_id) as activity_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY activity_id   ORDER BY activity_count DESC   LIMIT 1  """,Mismatch becoz of null values can be improved by providing instruction while counting column is not null in the where clause,not_evaluated,not_evaluated
45,activity,Analytical,Which is the most common activity in a <specific persona>?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
46,activity,Analytical,Which is the least common activity?,no,yes,"SELECT activity_id, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_id ORDER BY count ASC LIMIT 1","""SELECT activity_id, COUNT(activity_id) as activity_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY activity_id   ORDER BY activity_count ASC   LIMIT 1  """,Mismatch becoz of null values can be improved by providing instruction while counting column is not null in the where clause,not_evaluated,not_evaluated
47,mouse ,Descriptive,Is mouse Scroll is used commonly,no,no,SELECT SUM(mouse_wheel) AS total_scroll FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT COUNT(mouse_wheel) as mouse_scroll_count FROM events WHERE strftime('%Y-%m', event_time) = '2023-04'  """,,not_evaluated,not_evaluated
48,activity,Insightful,Which is the most common sequence of 4 activities?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
49,case,Analytical,What is the average cases per day worked on?,no,yes,"select avg(count_distinct_case_id_value) as average_cases_per_day from (select count(distinct case_id_value) as count_distinct_case_id_value, date(event_time) as date from unum_askskan.events_delta_tb where date(event_time) between '2023-04-01' and '2023-04-30' group by date)","""select avg(count_distinct_case_id_value) as average_cases_per_day from (select count(distinct case_id_value) as count_distinct_case_id_value, date(event_time) as date from events where date(event_time) between '2023-04-01' and '2023-04-30' group by date) as t1  """,,not_evaluated,not_evaluated
50,case,Analytical,What is the average cases per day worked on in a <specific persona>?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
51,idle time,Analytical,Which participant has the highest total idle time?,no,yes,"SELECT participant_name, SUM(idle_time) AS total_idle_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_idle_time DESC LIMIT 1","""SELECT participant_name, SUM(idle_time) as total_idle_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY participant_name   ORDER BY total_idle_time DESC   LIMIT 1  """,,not_evaluated,not_evaluated
52,idle time,Analytical,Which participant has the least total Idle time ?,no,yes,"SELECT participant_name, SUM(idle_time) AS total_idle_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_idle_time ASC LIMIT 1","""SELECT participant_name, SUM(idle_time) as total_idle_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY participant_name   ORDER BY total_idle_time ASC   LIMIT 1  """,,not_evaluated,not_evaluated
53,idle time,Analytical,Which persona has the highest total idle time?,no,yes,"SELECT persona_name, SUM(idle_time) AS total_idle_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_idle_time DESC LIMIT 1","""SELECT persona_name, SUM(idle_time) as total_idle_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY persona_name   ORDER BY total_idle_time DESC   LIMIT 1  """,,not_evaluated,not_evaluated
54,idle time,Analytical,Which persona has the least total Idle time ?,no,yes,"SELECT persona_name, SUM(idle_time) AS total_idle_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_idle_time ASC LIMIT 1","""SELECT persona_name, SUM(idle_time) as total_idle_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY persona_name   ORDER BY total_idle_time ASC   LIMIT 1  """,,not_evaluated,not_evaluated
55,wait time,Analytical,Which participant has the least total wait time ?,no,yes,"SELECT participant_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_wait_time ASC LIMIT 1","""SELECT participant_name, SUM(wait_time) as total_wait_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY participant_name   ORDER BY total_wait_time ASC   LIMIT 1  """,,not_evaluated,not_evaluated
56,wait time,Analytical,Which persona has the highest total wait time?,no,yes,"SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time DESC LIMIT 1","""SELECT persona_name, SUM(wait_time) as total_wait_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY persona_name   ORDER BY total_wait_time DESC   LIMIT 1  """,,not_evaluated,not_evaluated
57,wait time,Analytical,Which persona has the least total wait time?,no,yes,"SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time ASC LIMIT 1","""SELECT persona_name, SUM(wait_time) as total_wait_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY persona_name   ORDER BY total_wait_time ASC   LIMIT 1  """,,not_evaluated,not_evaluated
58,application,Descriptive,Which persona has the highest count of application switch ?,no,yes,"SELECT persona_name, SUM(CAST(app_switch AS INT)) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1","""SELECT persona_name, COUNT(app_switch) as app_switch_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04' AND app_switch = 1   GROUP BY persona_name   ORDER BY app_switch_count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
59,application,Descriptive,Which persona has the least count of application switch ?,no,yes,"SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = 'TRUE' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1","""SELECT persona_name, COUNT(app_switch) as app_switch_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04' AND app_switch = 1   GROUP BY persona_name   ORDER BY app_switch_count ASC   LIMIT 1  """,,not_evaluated,not_evaluated
60,activity abstraction,Descriptive,Which is the most common activity abstraction?,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1","""SELECT activity_abstraction_level_name, COUNT(*) as count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY activity_abstraction_level_name   ORDER BY count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
61,activity abstraction,Descriptive,Which is the most common activity abstraction in a <specific persona>?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
